section_id,ge_code
2025_Spring_28120,GE-7
2025_Spring_28120,GE-8
2025_Spring_27602,GE-1A
2025_Spring_31316,GE-6
2025_Spring_31319,GE-6
2025_Spring_33038,GE-1A
2025_Spring_33334,GE-1A
2025_Spring_33331,GE-1A
2025_Spring_50264,GE-1B
2025_Spring_28920,GE-8
2025_Spring_28861,GE-8
2025_Spring_28862,GE-8
2025_Spring_38016,GE-5A
2025_Spring_26520,GE-4
2025_Spring_33307,GE-1A
2025_Spring_33375,GE-1A
2025_Spring_33301,GE-1A
2025_Spring_21490,GE-6
2025_Spring_27601,GE-1A
2025_Spring_40920,GE-1B
2025_Spring_50262,GE-1B
2025_Spring_50270,GE-1B
2025_Spring_60100,GE-5B
2025_Spring_13250,GE-1B
2025_Spring_41170,GE-1B
2025_Spring_28822,GE-6
2025_Spring_29310,GE-6
2025_Spring_25611,GE-6
2025_Spring_33030,GE-1A
2025_Spring_27802,GE-1A
2025_Spring_27804,GE-1A
2025_Spring_27809,GE-1A
2025_Spring_04100,GE-4
2025_Spring_04100,GE-8
2025_Spring_26640,GE-4
2025_Spring_26640,GE-8
2025_Spring_33174,GE-1A
2025_Spring_42020,GE-2
2025_Spring_42020,GE-5A
2025_Spring_31314,GE-6
2025_Spring_33246,GE-1A
2025_Spring_33247,GE-1A
2025_Spring_33315,GE-1A
2025_Spring_44005,GE-5B
2025_Spring_33326,GE-1A
2025_Spring_33316,GE-1A
2025_Spring_33317,GE-1A
2025_Spring_33323,GE-1A
2025_Spring_33365,GE-1A
2025_Spring_44560,GE-5B
2025_Spring_31312,GE-6
2025_Spring_31334,GE-8
2025_Spring_33158,GE-1A
2025_Spring_24003,GE-3
2025_Spring_24003,GE-4
2025_Spring_24003,GE-5B
2025_Spring_27806,GE-1A
2025_Spring_28103,GE-1A
2025_Spring_27700,GE-4
2025_Spring_27700,GE-7
2025_Spring_27700,GE-8
2025_Spring_27607,GE-1A
2025_Spring_28127,GE-1A
2025_Spring_33032,GE-1A
2025_Spring_33165,GE-1A
2025_Spring_33166,GE-1A
2025_Spring_33355,GE-1A
2025_Spring_33357,GE-1A
2025_Spring_33361,GE-1A
2025_Spring_81005,GE-3
2025_Spring_69150,GE-5B
2025_Spring_29330,GE-8
2025_Spring_29350,GE-8
2025_Spring_33348,GE-1A
2025_Spring_05349,GE-1B
2025_Spring_69510,GE-1B
2025_Spring_05552,GE-1B
2025_Spring_33227,GE-1A
2025_Spring_29900,GE-1B
2025_Spring_05545,GE-1B
2025_Spring_05551,GE-1B
2025_Spring_26530,GE-4
2025_Spring_26530,GE-7
2025_Spring_27604,GE-1A
2025_Spring_21530,GE-3
2025_Spring_21530,GE-7
2025_Spring_33256,GE-1A
2025_Spring_23410,GE-1B
2025_Spring_69100,GE-3
2025_Spring_69100,GE-7
2025_Spring_50254,GE-1B
2025_Spring_26680,GE-1B
2025_Spring_67330,GE-1B
2025_Spring_27801,GE-1A
2025_Spring_33438,GE-1A
2025_Spring_33328,GE-1A
2025_Spring_33329,GE-1A
2025_Spring_33336,GE-1A
2025_Spring_33353,GE-1A
2025_Spring_38432,GE-1B
2025_Spring_47250,GE-2
2025_Spring_47250,GE-5A
2025_Spring_24814,GE-6
2025_Spring_47645,GE-1B
2025_Spring_26630,GE-4
2025_Spring_26630,GE-8
2025_Spring_61710,GE-5B
2025_Spring_28112,GE-1A
2025_Spring_31200,GE-4
2025_Spring_31200,GE-8
2025_Spring_33224,GE-1A
2025_Spring_37170,GE-5A
2025_Spring_66150,GE-4
2025_Spring_20192,GE-1B
2025_Spring_21000,GE-4
2025_Spring_21000,GE-8
2025_Spring_28101,GE-1A
2025_Spring_28866,GE-4
2025_Spring_28866,GE-8
2025_Spring_28903,GE-6
2025_Spring_33168,GE-1A
2025_Spring_33399,GE-1A
2025_Spring_35630,GE-5B
2025_Spring_35690,GE-2
2025_Spring_35690,GE-5B
2025_Spring_37140,GE-5A
2025_Spring_42065,GE-2
2025_Spring_42065,GE-5A
2025_Spring_44550,GE-5B
2025_Spring_50252,GE-1B
2025_Spring_62120,GE-3
2025_Spring_01830,GE-4
2025_Spring_05854,GE-1B
2025_Spring_05855,GE-1B
2025_Spring_06012,GE-1B
2025_Spring_13285,GE-1B
2025_Spring_13266,GE-1B
2025_Spring_22720,GE-4
2025_Spring_22720,GE-8
2025_Spring_23360,GE-4
2025_Spring_28129,GE-1A
2025_Spring_30395,GE-5B
2025_Spring_33431,GE-1A
2025_Spring_33252,GE-1A
2025_Spring_33257,GE-1A
2025_Spring_33163,GE-1A
2025_Spring_33385,GE-1A
2025_Spring_33396,GE-1A
2025_Spring_28115,GE-1A
2025_Spring_33217,GE-1A
2025_Spring_35850,GE-3
2025_Spring_33232,GE-1A
2025_Spring_33233,GE-1A
2025_Spring_40240,GE-2
2025_Spring_40240,GE-5A
2025_Spring_22250,GE-4
2025_Spring_65495,GE-1B
2025_Spring_67040,GE-3
2025_Spring_33319,GE-1A
2025_Spring_33343,GE-1A
2025_Spring_33344,GE-1A
2025_Spring_33391,GE-1A
2025_Spring_33327,GE-1A
2025_Spring_13504,GE-2
2025_Spring_13504,GE-5A
2025_Spring_33167,GE-1A
2025_Spring_33036,GE-1A
2025_Spring_05541,GE-1B
2025_Spring_33368,GE-1A
2025_Spring_33398,GE-1A
2025_Spring_35720,GE-2
2025_Spring_35720,GE-5A
2025_Spring_35720,GE-5B
2025_Spring_33243,GE-1A
